N Rate,Rep!,Sample no!,Cabon Substrate Number!,Cabon Substrate!,%CO2,,,,Sample #,N Rate,Rep!,Shanon diversity index H=               -Σpi*(LnPi),"Substrate Richness (S) =sum of all wells greater than the control, or greater than 0 for adjusted well",Substrate eveness (E)= H/logS
0,1,5250,1,L-Arabinose,1.47,,,,5250,0,1,2.69,16,0.97
0,1,5250,2,D-Fructose,1.03,,,,5252,200,1,2.69,16,0.97
0,1,5250,3,D-Galactose,0.81,,,,5253,300,1,2.68,16,0.97
0,1,5250,4,D-Glucose,1.47,,,,5254,400,1,2.7,16,0.97
0,1,5250,5,N-Acetyl-D-glucosamine,0.28,,,,5255,500,1,2.68,16,0.97
0,1,5250,6,Citric acid,5.54,,,,5251,0,5,2.69,16,0.97
0,1,5250,7,Oxalic acid,4.15,,,,5256,0,2,2.72,16,0.98
0,1,5250,8,L-Malic acid,4.4,,,,5257,0,6,2.72,16,0.98
0,1,5250,9,Fumaric acid,1.15,,,,5258,200,2,2.7,16,0.98
0,1,5250,10,L-Alanine,0.29,,,,5259,300,2,2.69,16,0.97
0,1,5250,11,DL-aspatic acid,0.49,,,,5260,400,2,2.72,16,0.98
0,1,5250,12,γ-Aminobutyric acid,0.2,,,,5261,500,2,2.69,16,0.97
0,1,5250,13,L-lysine hydrochloride,0.21,,,,5262,0,3,2.67,16,0.96
0,1,5250,14,L-Arginine,0.04,,,,5263,0,4,2.69,16,0.97
0,1,5250,15,Protocatechuic acid,4.09,,,,5264,200,3,2.67,16,0.96
0,1,5250,Water,Water,0.09,,,,5265,300,3,2.66,16,0.96
200,1,5252,1,L-Arabinose,0.78,,,,5266,400,3,2.65,16,0.96
200,1,5252,2,D-Fructose,0.8,,,,5267,500,3,2.67,16,0.96
200,1,5252,3,D-Galactose,0.57,,,,5268,200,4,2.17,16,0.78
200,1,5252,4,D-Glucose,0.96,,,,5269,300,4,2.94,16,1.06
200,1,5252,5,N-Acetyl-D-glucosamine,0.32,,,,5270,400,4,2.74,16,0.99
200,1,5252,6,Citric acid,4.26,,,,5271,500,4,2.65,16,0.96
200,1,5252,7,Oxalic acid,3.91,,,,5272,200,5,2.64,16,0.95
200,1,5252,8,L-Malic acid,2.05,,,,5273,300,5,2.7,16,0.97
200,1,5252,9,Fumaric acid,0.57,,,,5274,400,5,2.68,16,0.97
200,1,5252,10,L-Alanine,0.22,,,,5275,500,5,2.71,16,0.98
200,1,5252,11,DL-aspatic acid,0.19,,,,5276,200,6,2.7,16,0.97
200,1,5252,12,γ-Aminobutyric acid,0.29,,,,5277,300,6,2.7,16,0.97
200,1,5252,13,L-lysine hydrochloride,0.13,,,,5278,400,6,2.7,16,0.97
200,1,5252,14,L-Arginine,0.04,,,,5279,500,6,2.73,16,0.98
200,1,5252,15,Protocatechuic acid,0.13,,,,,,,,,
200,1,5252,Water,Water,0.07,,,,,,,,,
300,1,5253,1,L-Arabinose,0.75,,,,,,,,,
300,1,5253,2,D-Fructose,0.58,,,,,,,,,
300,1,5253,3,D-Galactose,0.47,,,,,,,,,
300,1,5253,4,D-Glucose,0.49,,,,,,,,,
300,1,5253,5,N-Acetyl-D-glucosamine,0.19,,,,,,,,,
300,1,5253,6,Citric acid,4.39,,,,,,,,,
300,1,5253,7,Oxalic acid,4.17,,,,,,,,,
300,1,5253,8,L-Malic acid,1.79,,,,,,,,,
300,1,5253,9,Fumaric acid,0.26,,,,,,,,,
300,1,5253,10,L-Alanine,0.18,,,,,,,,,
300,1,5253,11,DL-aspatic acid,0.22,,,,,,,,,
300,1,5253,12,γ-Aminobutyric acid,0.14,,,,,,,,,
300,1,5253,13,L-lysine hydrochloride,0.11,,,,,,,,,
300,1,5253,14,L-Arginine,0.04,,,,,,,,,
300,1,5253,15,Protocatechuic acid,0.17,,,,,,,,,
300,1,5253,Water,Water,0.07,,,,,,,,,
400,1,5254,1,L-Arabinose,1.07,,,,,,,,,
400,1,5254,2,D-Fructose,1.77,,,,,,,,,
400,1,5254,3,D-Galactose,0.92,,,,,,,,,
400,1,5254,4,D-Glucose,1.6,,,,,,,,,
400,1,5254,5,N-Acetyl-D-glucosamine,0.41,,,,,,,,,
400,1,5254,6,Citric acid,4.91,,,,,,,,,
400,1,5254,7,Oxalic acid,3.49,,,,,,,,,
400,1,5254,8,L-Malic acid,2.46,,,,,,,,,
400,1,5254,9,Fumaric acid,0.42,,,,,,,,,
400,1,5254,10,L-Alanine,0.33,,,,,,,,,
400,1,5254,11,DL-aspatic acid,0.48,,,,,,,,,
400,1,5254,12,γ-Aminobutyric acid,0.26,,,,,,,,,
400,1,5254,13,L-lysine hydrochloride,0.14,,,,,,,,,
400,1,5254,14,L-Arginine,0.04,,,,,,,,,
400,1,5254,15,Protocatechuic acid,0.22,,,,,,,,,
