Plot,Rate,Rep,Lab.C,B.gluc,Chit,Sulf,Phos,a.gluc,Xyl,Tot.Nem,Para,Fung,Bact,Pred,Omn,Pred.Omn,ln.Tot,ln.para,ln.fung,ln.bact,ln.pred.omn,Div.H,MI,PPI,EI,SI,CI,BF,Det,Pred,Roots,Fu2,Ba1,Ba2,Ba3,Ca3,Ca4,Om4,Ecto,Endo,taxa,Heli.d,Roty.r,Cric,Tyl,Aph,Rhabd,Pang,Ceph,Plect,Monhy,Trip,Mono,Doryl,pH.h2o,pH.cacl2,NO3.N,CN,CEC,ESP,EC,OM,OrgC,TC,TN,CaMg,Cl,PBI,P.colwell,K.avail,K.amm.ace,Ca.amm.ace,Mg.amm.ace,Na.amm.ace,Al.KCl,Al.sat,Al.ppm,Cu,Fe,Mn,Zn,S,Ca.amm.ace,Mg.amm.ace,K.amm.ace,Clay.pc,Sand.pc,Silt.pc,Texture,P.env.risk,Grass.index
R0.1,0,1,0.32,8.053728292,12.69355061,6.141326902,27.30555553,22.76571873,7.061929577,376,32,24,49,24,247,271.061828,5.93,3.51,3.23,3.9,5.61,1.2,3.14,0.26,85,97,13,1,15,83,2,24,40,8,0,8,16,247,32,0,7,0,32,0,24,0,0,40,8,0,0,8,16,247,6.9,6.1,6,10,10,1.3,0.16,2.2,1.27,1.6,0.16,3.4,15,190,110,940,2.4,5.8,1.7,0.13,0.1,1,9,0.99,44,53,1.7,71,58,17,24,26,60,15,Clay.Loam,0.58,0.32
R0.2,0,2,0.32,12.55931689,13.29064518,8.86052066,50.6385242,20.95285702,8.575352029,455,181,10,17,49,198,246.8198473,6.12,5.2,2.44,2.91,5.51,1.38,2.24,1.19,83,99,16,1,6,80,15,10,14,3,0,7,42,198,181,0,9,17,163,0,7,3,0,14,3,0,0,7,42,198,5.7,5.2,4.8,9.4,7.91,1.2,0.24,2.1,1.24,1.5,0.16,4.1,43,230,71,610,1.6,4.9,1.2,0.1,0.12,1.5,10,1.1,62,77,1.5,190,62,15,20,32,48,20,Clay.Loam,0.31,0.26
R0.3,0,3,0.245,14.56999301,15.23916439,14.19640414,63.20412954,26.05087557,10.45363728,480,198,17,34,59,173,231.5789474,6.18,5.29,2.88,3.55,5.45,1.49,2.05,1.24,80,97,17,1,10,74,17,17,21,8,4,25,34,173,198,0,10,0,198,0,13,4,13,8,8,0,4,25,34,173,6.4,5.6,4.8,10,8.59,1.7,0.1,2.2,1.26,1.6,0.16,4.2,24,210,30,660,1.7,5.4,1.3,0.14,0.11,1.3,9.7,0.8,39,54,0.93,45,63,15,20,34,49,18,Clay.Loam,0.14,0.25
R0.4,0,4,0.325,20.24184582,23.72715777,26.45722984,84.5709862,35.2789055,14.71979983,410,20,15,29,68,278,346.125,6.02,3.02,2.75,3.41,5.85,1.17,3.54,0.14,61,98,27,1,5,94,1,15,10,15,0,15,54,278,20,0,8,0,20,0,15,0,0,10,15,5,0,15,54,278,6,5.4,5.8,11,8.25,1.5,0.18,2.4,1.41,1.9,0.18,3.3,42,290,47,660,1.7,4.9,1.5,0.12,0.1,1,9,1.1,55,59,1.3,140,59,19,20,28,54,18,Clay.Loam,0.16,0.27
R0.5,0,5,0.325,10.80942919,13.14662348,7.790273793,41.29937755,27.25347271,8.171167131,823,180,35,55,69,484,553.4117647,6.71,5.2,3.57,4.03,6.32,1.39,2.82,0.66,88,98,14,1,10,83,7,35,55,0,0,21,48,484,180,0,10,28,145,7,28,7,7,48,0,0,0,21,48,484,6.5,5.7,6,11,8.61,0.9,0.17,2.2,1.26,1.8,0.16,3.1,19,170,99,740,1.9,4.9,1.6,0.08,0.13,1.5,11,0.98,48,66,1.5,83,57,19,22,22,64,14,Loam,0.58,0.29
R0.6,0,6,0.315,13.02107662,14.11614176,9.690706293,44.57794967,18.61250919,9.757780526,556,227,30,24,54,221,274.7634409,6.32,5.43,3.43,3.21,5.62,1.48,2.1,1.23,81,97,24,0,9,75,16,30,24,0,0,18,36,221,227,0,9,18,209,0,24,6,6,18,0,0,0,18,36,221,5.9,5.4,5,10,8.36,1.1,0.29,2.2,1.26,1.6,0.16,3.9,39,210,78,530,1.4,5.4,1.4,0.1,0.12,1.4,11,1,51,76,1.3,210,65,17,16,26,58,16,Clay.Loam,0.37,0.21
R1.1,200,1,0.295,12.44372442,20.99983727,11.07422845,57.26024376,19.60979281,9.497056785,1037,685,38,38,57,219,275.8458716,6.94,6.53,3.66,3.66,5.62,1.35,1.18,1.98,80,97,25,1,9,56,35,38,29,0,10,10,48,219,685,0,8,114,571,0,38,0,0,29,0,0,10,10,48,219,5.5,4.7,13,9.4,4.81,2,0.07,2.3,1.34,1.6,0.17,2.3,10,180,71,150,0.39,2.7,1.2,0.1,0.37,7.8,34,1.5,100,45,3.1,50,56,26,8.2,23,61,16,Loam,0.39,0.1
R1.2,200,2,0.29,18.93199204,18.43780418,17.7025608,83.23926738,31.65300442,13.94372379,725,277,29,35,71,312,383.2357724,6.59,5.63,3.42,3.59,5.95,1.36,2.2,1.15,81,98,20,1,8,77,15,29,29,6,0,35,35,312,277,0,8,6,271,0,29,0,0,29,6,0,0,35,35,312,5.7,5,16,10,6.32,1.5,0.12,2,1.16,1.5,0.15,2.6,33,170,61,410,1,3.6,1.4,0.09,0.16,2.5,14,0.88,64,61,1.5,54,57,22,16,27,59,15,Clay.Loam,0.36,0.2
R1.3,200,3,0.27,7.885158703,8.210767859,9.376496478,36.47911739,14.23784057,9.194845738,1247,582,62,146,83,374,457.38,7.13,6.37,4.15,4.99,6.13,1.66,1.66,1.4,89,96,10,1,21,60,20,62,135,10,0,42,42,374,582,0,11,42,509,31,52,10,21,114,10,0,0,42,42,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R1.4,200,4,0.26,14.369215,24.95961778,20.60179172,70.96310031,31.06520226,19.25358544,649,358,47,47,47,151,197.296,6.48,5.88,3.87,3.87,5.29,1.26,1.43,1.66,83,94,20,1,17,57,26,47,47,0,0,0,47,151,358,0,6,0,358,0,42,5,0,47,0,0,0,0,47,151,5.9,5.1,9.4,8.8,5.99,1.3,0.09,2,1.17,1.5,0.17,3.3,26,220,31,250,0.63,3.9,1.2,0.08,0.21,3.4,18,1,58,46,1.5,60,65,20,11,23,62,15,Clay.Loam,0.14,0.12
