Plot,N.Rate,Rep,Sample.no,Full.name,Substrate,CO2,Abs_no_water
R0.1,0,1,5250,L.Alanine,Ala,0.573504759,0.2015
R0.2,0,2,5256,L.Alanine,Ala,0.554443472,0.1871
R0.3,0,3,5262,L.Alanine,Ala,0.434017302,0.1589
R0.4,0,4,5263,L.Alanine,Ala,0.447888219,0.1855
R0.5,0,5,5251,L.Alanine,Ala,0.556364161,0.2043
R0.6,0,6,5257,L.Alanine,Ala,0.528162658,0.1083
R1.1,200,1,5252,L.Alanine,Ala,0.51903552,0.2329
R1.2,200,2,5258,L.Alanine,Ala,0.586355818,0.2117
R1.3,200,3,5264,L.Alanine,Ala,0.453927086,0.2155
R1.4,200,4,5268,L.Alanine,Ala,0.419603001,0.1962
R1.5,200,5,5272,L.Alanine,Ala,0.416642371,0.1865
R1.6,200,6,5276,L.Alanine,Ala,0.468477765,0.1967
R2.1,300,1,5253,L.Alanine,Ala,0.490902439,0.2072
R2.2,300,2,5259,L.Alanine,Ala,0.502584914,0.1505
R2.3,300,3,5265,L.Alanine,Ala,0.420970377,0.1819
R2.4,300,4,5269,L.Alanine,Ala,0.479803633,0.2494
R2.5,300,5,5273,L.Alanine,Ala,0.512002575,0.2409
R2.6,300,6,5277,L.Alanine,Ala,0.467156081,0.2098
R3.1,400,1,5254,L.Alanine,Ala,0.594493737,0.2607
R3.2,400,2,5260,L.Alanine,Ala,0.57059214,0.2058
R3.3,400,3,5266,L.Alanine,Ala,0.439405068,0.2018
R3.4,400,4,5270,L.Alanine,Ala,0.420721857,0.1792
R3.5,400,5,5274,L.Alanine,Ala,0.448621842,0.1813
R3.6,400,6,5278,L.Alanine,Ala,0.569384445,0.2645
R4.1,500,1,5255,L.Alanine,Ala,0.478623087,0.2013
R4.2,500,2,5261,L.Alanine,Ala,0.515690565,0.2072
R4.3,500,3,5267,L.Alanine,Ala,0.488723139,0
R4.4,500,4,5271,L.Alanine,Ala,0.485441645,0.2391
R4.5,500,5,5275,L.Alanine,Ala,0.4374422,0.1594
R4.6,500,6,5279,L.Alanine,Ala,0.587869205,0.2134
R0.1,0,1,5250,L.Arabinose,Arab,1.146263798,0.4061
R0.2,0,2,5256,L.Arabinose,Arab,1.002517186,0.3453
R0.3,0,3,5262,L.Arabinose,Arab,0.834621572,0.4786
R0.4,0,4,5263,L.Arabinose,Arab,0.897136223,0.4588
R0.5,0,5,5251,L.Arabinose,Arab,1.456662775,0.4581
R0.6,0,6,5257,L.Arabinose,Arab,0.915674065,0.3702
R1.1,200,1,5252,L.Arabinose,Arab,0.828766107,0.4109
R1.2,200,2,5258,L.Arabinose,Arab,0.991374334,0.3659
R1.3,200,3,5264,L.Arabinose,Arab,0.617848719,0.3814
R1.4,200,4,5268,L.Arabinose,Arab,0.762493475,0.2115
R1.5,200,5,5272,L.Arabinose,Arab,0.418992264,0.203
R1.6,200,6,5276,L.Arabinose,Arab,0.851822787,0.4231
R2.1,300,1,5253,L.Arabinose,Arab,0.812835823,0.4187
R2.2,300,2,5259,L.Arabinose,Arab,0.795316027,0.3378
R2.3,300,3,5265,L.Arabinose,Arab,0.754027787,0.4469
R2.4,300,4,5269,L.Arabinose,Arab,0.752711734,0.4615
R2.5,300,5,5273,L.Arabinose,Arab,0.847170842,0.4453
R2.6,300,6,5277,L.Arabinose,Arab,0.916179644,0.4811
R3.1,400,1,5254,L.Arabinose,Arab,0.960227253,0.4196
R3.2,400,2,5260,L.Arabinose,Arab,0.835114689,0.2746
R3.3,400,3,5266,L.Arabinose,Arab,0.687277617,0.4113
R3.4,400,4,5270,L.Arabinose,Arab,0.648361967,0.4285
R3.5,400,5,5274,L.Arabinose,Arab,0.825052486,0.4609
R3.6,400,6,5278,L.Arabinose,Arab,1.073980461,0.4848
R4.1,500,1,5255,L.Arabinose,Arab,0.82608158,0.3902
R4.2,500,2,5261,L.Arabinose,Arab,0.657714418,0.3265
R4.3,500,3,5267,L.Arabinose,Arab,0.823488246,0
R4.4,500,4,5271,L.Arabinose,Arab,0.618475159,0.36
R4.5,500,5,5275,L.Arabinose,Arab,0.86656375,0.4754
R4.6,500,6,5279,L.Arabinose,Arab,0.984497059,0.4306
R0.1,0,1,5250,L.Arginine,Arg,0.268304668,0
R0.2,0,2,5256,L.Arginine,Arg,0.307072667,0
R0.3,0,3,5262,L.Arginine,Arg,0.275396458,0
R0.4,0,4,5263,L.Arginine,Arg,0.2830058,0
R0.5,0,5,5251,L.Arginine,Arg,0.266495679,0
R0.6,0,6,5257,L.Arginine,Arg,0.324828049,0
R1.1,200,1,5252,L.Arginine,Arg,0.269901792,0
R1.2,200,2,5258,L.Arginine,Arg,0.277739618,0
R1.3,200,3,5264,L.Arginine,Arg,0.276588049,0
R1.4,200,4,5268,L.Arginine,Arg,0.275007863,0
R1.5,200,5,5272,L.Arginine,Arg,0.261882615,0
R1.6,200,6,5276,L.Arginine,Arg,0.299407744,0
R2.1,300,1,5253,L.Arginine,Arg,0.268097572,0
R2.2,300,2,5259,L.Arginine,Arg,0.270759362,0
R2.3,300,3,5265,L.Arginine,Arg,0.27123251,0
R2.4,300,4,5269,L.Arginine,Arg,0.260326094,0
R2.5,300,5,5273,L.Arginine,Arg,0.263959895,0
R2.6,300,6,5277,L.Arginine,Arg,0.303154601,0
R3.1,400,1,5254,L.Arginine,Arg,0.27485611,0
R3.2,400,2,5260,L.Arginine,Arg,0.307087197,0
R3.3,400,3,5266,L.Arginine,Arg,0.261812133,0
R3.4,400,4,5270,L.Arginine,Arg,0.270228447,0
R3.5,400,5,5274,L.Arginine,Arg,0.267498968,0
R3.6,400,6,5278,L.Arginine,Arg,0.279263763,0
R4.1,500,1,5255,L.Arginine,Arg,0.266548691,0
R4.2,500,2,5261,L.Arginine,Arg,0.303313977,0
R4.3,500,3,5267,L.Arginine,Arg,0.288021497,0.1019
R4.4,500,4,5271,L.Arginine,Arg,0.259441362,0
R4.5,500,5,5275,L.Arginine,Arg,0.316275867,0
R4.6,500,6,5279,L.Arginine,Arg,0.391566159,0.0023
R0.1,0,1,5250,DL.aspatic.acid,Asp,0.684493715,0.281
R0.2,0,2,5256,DL.aspatic.acid,Asp,0.524446269,0.1958
R0.3,0,3,5262,DL.aspatic.acid,Asp,0.540965068,0.2915
R0.4,0,4,5263,DL.aspatic.acid,Asp,0.51667251,0.2716
R0.5,0,5,5251,DL.aspatic.acid,Asp,0.655337471,0.2712
R0.6,0,6,5257,DL.aspatic.acid,Asp,0.623464979,0.264
R1.1,200,1,5252,DL.aspatic.acid,Asp,0.50161688,0.2176
R1.2,200,2,5258,DL.aspatic.acid,Asp,0.602100658,0.2798
R1.3,200,3,5264,DL.aspatic.acid,Asp,0.489851169,0.2603
R1.4,200,4,5268,DL.aspatic.acid,Asp,0.448876225,0.2379
R1.5,200,5,5272,DL.aspatic.acid,Asp,0.425293764,0.1981
R1.6,200,6,5276,DL.aspatic.acid,Asp,0.571544479,0.2955
R2.1,300,1,5253,DL.aspatic.acid,Asp,0.524313491,0.2475
R2.2,300,2,5259,DL.aspatic.acid,Asp,0.50150651,0.1599
R2.3,300,3,5265,DL.aspatic.acid,Asp,0.508973915,0.3052
R2.4,300,4,5269,DL.aspatic.acid,Asp,0.512071332,0.2887
R2.5,300,5,5273,DL.aspatic.acid,Asp,0.484278595,0.212
R2.6,300,6,5277,DL.aspatic.acid,Asp,0.535222723,0.2813
R3.1,400,1,5254,DL.aspatic.acid,Asp,0.678983546,0.3168
R3.2,400,2,5260,DL.aspatic.acid,Asp,0.618150109,0.2352
R3.3,400,3,5266,DL.aspatic.acid,Asp,0.465466042,0.2339
R3.4,400,4,5270,DL.aspatic.acid,Asp,0.433299901,0.1976
R3.5,400,5,5274,DL.aspatic.acid,Asp,0.493739556,0.2336
R3.6,400,6,5278,DL.aspatic.acid,Asp,0.657557001,0.3184
R4.1,500,1,5255,DL.aspatic.acid,Asp,0.556000485,0.278
R4.2,500,2,5261,DL.aspatic.acid,Asp,0.492026753,0.1912
R4.3,500,3,5267,DL.aspatic.acid,Asp,0.49547629,0
R4.4,500,4,5271,DL.aspatic.acid,Asp,0.552001858,0.2892
R4.5,500,5,5275,DL.aspatic.acid,Asp,0.511414332,0.2458
R4.6,500,6,5279,DL.aspatic.acid,Asp,0.606788814,0.2196
R0.1,0,1,5250,Citric.acid,Cit,5.272337463,0.603
R0.2,0,2,5256,Citric.acid,Cit,2.797681508,0.5554
R0.3,0,3,5262,Citric.acid,Cit,6.365552355,0.7584
R0.4,0,4,5263,Citric.acid,Cit,4.695912399,0.7531
R0.5,0,5,5251,Citric.acid,Cit,7.242978909,0.5785
R0.6,0,6,5257,Citric.acid,Cit,2.479318343,0.5411
R1.1,200,1,5252,Citric.acid,Cit,3.089453038,0.6684
R1.2,200,2,5258,Citric.acid,Cit,1.071576892,0.5849
R1.3,200,3,5264,Citric.acid,Cit,4.523402321,0.7638
R1.4,200,4,5268,Citric.acid,Cit,3.963546823,0
R1.5,200,5,5272,Citric.acid,Cit,3.990335642,0.7896
R1.6,200,6,5276,Citric.acid,Cit,5.083302419,0.7143
R2.1,300,1,5253,Citric.acid,Cit,3.235965753,0.6677
R2.2,300,2,5259,Citric.acid,Cit,3.17653419,0.5879
R2.3,300,3,5265,Citric.acid,Cit,4.886733016,0.817
R2.4,300,4,5269,Citric.acid,Cit,3.354665618,0.7523
R2.5,300,5,5273,Citric.acid,Cit,4.369427624,0.6818
R2.6,300,6,5277,Citric.acid,Cit,4.699475239,0.7027
R3.1,400,1,5254,Citric.acid,Cit,3.987845382,0.607
R3.2,400,2,5260,Citric.acid,Cit,2.064192564,0.5695
R3.3,400,3,5266,Citric.acid,Cit,3.494653413,0.7183
R3.4,400,4,5270,Citric.acid,Cit,3.533792997,0.7667
R3.5,400,5,5274,Citric.acid,Cit,4.27099303,0.7079
R3.6,400,6,5278,Citric.acid,Cit,5.44061572,0.6688
R4.1,500,1,5255,Citric.acid,Cit,3.058028406,0.6458
R4.2,500,2,5261,Citric.acid,Cit,2.351347416,0.6398
R4.3,500,3,5267,Citric.acid,Cit,3.297000406,0
R4.4,500,4,5271,Citric.acid,Cit,2.572597231,0.6708
R4.5,500,5,5275,Citric.acid,Cit,4.779748994,0.7175
R4.6,500,6,5279,Citric.acid,Cit,5.489538364,0.652
R0.1,0,1,5250,D.Fructose,Fruc,0.945135785,0.3772
R0.2,0,2,5256,D.Fructose,Fruc,1.03780427,0.3753
R0.3,0,3,5262,D.Fructose,Fruc,0.890333975,0.5038
R0.4,0,4,5263,D.Fructose,Fruc,0.957954085,0.4839
R0.5,0,5,5251,D.Fructose,Fruc,1.37378859,0.4703
R0.6,0,6,5257,D.Fructose,Fruc,1.047621382,0.3607
R1.1,200,1,5252,D.Fructose,Fruc,0.837606534,0.4211
R1.2,200,2,5258,D.Fructose,Fruc,1.069909246,0.4393
R1.3,200,3,5264,D.Fructose,Fruc,0.686390878,0.4315
R1.4,200,4,5268,D.Fructose,Fruc,0.721823965,0.2257
R1.5,200,5,5272,D.Fructose,Fruc,0.829723524,0.5263
R1.6,200,6,5276,D.Fructose,Fruc,1.26218889,0.5738
R2.1,300,1,5253,D.Fructose,Fruc,0.73337341,0.3995
R2.2,300,2,5259,D.Fructose,Fruc,0.775160003,0.3529
R2.3,300,3,5265,D.Fructose,Fruc,0.812325422,0.5334
R2.4,300,4,5269,D.Fructose,Fruc,0.781804308,0.4879
R2.5,300,5,5273,D.Fructose,Fruc,0.940048591,0.4795
R2.6,300,6,5277,D.Fructose,Fruc,0.80171427,0.4792
R3.1,400,1,5254,D.Fructose,Fruc,1.286345942,0.4955
R3.2,400,2,5260,D.Fructose,Fruc,1.002103584,0.3674
R3.3,400,3,5266,D.Fructose,Fruc,0.764517404,0.4609
R3.4,400,4,5270,D.Fructose,Fruc,0.608246692,0.4067
R3.5,400,5,5274,D.Fructose,Fruc,0.772072652,0.4413
R3.6,400,6,5278,D.Fructose,Fruc,1.084164902,0.4976
R4.1,500,1,5255,D.Fructose,Fruc,0.892912089,0.4538
R4.2,500,2,5261,D.Fructose,Fruc,0.701096057,0.3406
R4.3,500,3,5267,D.Fructose,Fruc,0.899522679,0
R4.4,500,4,5271,D.Fructose,Fruc,0.71632918,0.427
R4.5,500,5,5275,D.Fructose,Fruc,0.873835283,0.4776
R4.6,500,6,5279,D.Fructose,Fruc,1.038624376,0.4516
R0.1,0,1,5250,Fumaric.acid,Fum,0.996436463,0.3918
R0.2,0,2,5256,Fumaric.acid,Fum,0.663739075,0.2376
R0.3,0,3,5262,Fumaric.acid,Fum,0.543206735,0.2568
R0.4,0,4,5263,Fumaric.acid,Fum,0.534870467,0.2722
R0.5,0,5,5251,Fumaric.acid,Fum,0.527523596,0.1619
R0.6,0,6,5257,Fumaric.acid,Fum,0.555975527,0.2084
R1.1,200,1,5252,Fumaric.acid,Fum,0.729660079,0.372
R1.2,200,2,5258,Fumaric.acid,Fum,0.690462243,0.3321
R1.3,200,3,5264,Fumaric.acid,Fum,0.501058222,0.2674
R1.4,200,4,5268,Fumaric.acid,Fum,0.462623936,0.2512
R1.5,200,5,5272,Fumaric.acid,Fum,0.481834679,0.2776
R1.6,200,6,5276,Fumaric.acid,Fum,0.538106356,0.2733
R2.1,300,1,5253,Fumaric.acid,Fum,0.550671998,0.2494
R2.2,300,2,5259,Fumaric.acid,Fum,0.513846175,0.1564
R2.3,300,3,5265,Fumaric.acid,Fum,0.617009085,0.4161
R2.4,300,4,5269,Fumaric.acid,Fum,0.679722423,0.4074
R2.5,300,5,5273,Fumaric.acid,Fum,0.559152585,0.2941
R2.6,300,6,5277,Fumaric.acid,Fum,0.534548181,0.2822
R3.1,400,1,5254,Fumaric.acid,Fum,0.645455983,0.2879
R3.2,400,2,5260,Fumaric.acid,Fum,0.703838073,0.2885
R3.3,400,3,5266,Fumaric.acid,Fum,0.453196386,0.2174
R3.4,400,4,5270,Fumaric.acid,Fum,0.477067561,0.2517
R3.5,400,5,5274,Fumaric.acid,Fum,0.521195017,0.2647
R3.6,400,6,5278,Fumaric.acid,Fum,0.757106772,0.3909
R4.1,500,1,5255,Fumaric.acid,Fum,0.584587435,0.2919
R4.2,500,2,5261,Fumaric.acid,Fum,0.536467723,0.2193
R4.3,500,3,5267,Fumaric.acid,Fum,0.486997233,0
