Plot,Rate,Rep,Lab_C,B_gluc,Chit,Phos,Sulf,a_gluc,Xyl,Tot_Nem,Para,Fung,Bact,Pred,Omn,Total Predatory & omnivores/100 g,ln_Tot,ln_para,ln_fung,ln_bact,ln_pred+om,Div_H',MI,PPI,EI,SI,CI,B:F,Det,Pred,Roots,Fu2 100,Ba1 100,Ba2 100,Ba3 100,Ca3 100,Ca4 100,Om4 100,Ecto,Endo,taxa,Heli_d,Roty_r,Cric,Tyl,Aph,Rhabd,Pang,Ceph,Plect,Monhy,Trip,Mono,Doryl
R0-1,0,1,NA,NA,NA,NA,NA,NA,NA,376,32,24,49,24,247,271.061828,5.93,3.51,3.23,3.9,5.61,1.2,3.14,0.26,85,97,13,1,15,83,2,24,40,8,0,8,16,247,32,0,7,0,32,0,24,0,0,40,8,0,0,8,16,247
R0-5,0,5,NA,NA,NA,NA,NA,NA,NA,823,180,35,55,69,484,553.4117647,6.71,5.2,3.57,4.03,6.32,1.39,2.82,0.66,88,98,14,1,10,83,7,35,55,0,0,21,48,484,180,0,10,28,145,7,28,7,7,48,0,0,0,21,48,484
R1-1,200,1,NA,NA,NA,NA,NA,NA,NA,1037,685,38,38,57,219,275.8458716,6.94,6.53,3.66,3.66,5.62,1.35,1.18,1.98,80,97,25,1,9,56,35,38,29,0,10,10,48,219,685,0,8,114,571,0,38,0,0,29,0,0,10,10,48,219
R2-1,300,1,NA,NA,NA,NA,NA,NA,NA,1746,1483,8,76,59,119,177.9699029,7.47,7.3,2.25,4.35,5.19,0.65,0.47,2.55,91,97,3,1,11,29,60,8,59,17,0,0,59,119,1483,0,7,8,1475,0,8,0,0,59,17,0,0,0,59,119
R3-1,400,1,NA,NA,NA,NA,NA,NA,NA,1674,1318,8,53,76,220,295.4823529,7.42,7.18,2.15,3.99,5.69,0.81,0.75,2.36,88,98,5,1,7,44,50,8,38,15,0,8,68,220,1318,0,9,8,1311,0,8,0,23,15,15,0,0,8,68,220
R4-1,500,1,NA,NA,NA,NA,NA,NA,NA,2952,2674,21,11,107,139,246,7.99,7.89,3.11,2.46,5.51,0.52,0.35,2.72,75,98,33,0,2,26,72,21,11,0,0,11,96,139,2674,0,8,53,2620,0,11,11,0,11,0,0,0,11,96,139
R0-2,0,2,NA,NA,NA,NA,NA,NA,NA,455,181,10,17,49,198,246.8198473,6.12,5.2,2.44,2.91,5.51,1.38,2.24,1.19,83,99,16,1,6,80,15,10,14,3,0,7,42,198,181,0,9,17,163,0,7,3,0,14,3,0,0,7,42,198
R0-6,0,6,NA,NA,NA,NA,NA,NA,NA,556,227,30,24,54,221,274.7634409,6.32,5.43,3.43,3.21,5.62,1.48,2.1,1.23,81,97,24,0,9,75,16,30,24,0,0,18,36,221,227,0,9,18,209,0,24,6,6,18,0,0,0,18,36,221
R1-2,200,2,NA,NA,NA,NA,NA,NA,NA,725,277,29,35,71,312,383.2357724,6.59,5.63,3.42,3.59,5.95,1.36,2.2,1.15,81,98,20,1,8,77,15,29,29,6,0,35,35,312,277,0,8,6,271,0,29,0,0,29,6,0,0,35,35,312
R2-2,300,2,NA,NA,NA,NA,NA,NA,NA,619,258,33,82,25,221,246.0198675,6.43,5.56,3.52,4.42,5.51,1.6,1.85,1.25,87,96,11,1,21,63,16,33,70,12,0,0,25,221,258,0,9,45,209,4,21,12,0,70,12,0,0,0,25,221
